engine_model_id,manufacturer,model_name,engine_family,engine_type
122,AIRESEARCH,TPE331-47-B,,FAA_TYPE_2
123,AIRESEARCH,TPE331-5,,FAA_TYPE_2
124,AIRESEARCH,TPE331-5&6SER,,FAA_TYPE_2
125,AIRESEARCH,TPE331-5-252M,,FAA_TYPE_2
126,AIRESEARCH,TPE331-51,,FAA_TYPE_2
127,AIRESEARCH,TPE331-55,,FAA_TYPE_2
128,AIRESEARCH,TPE331-55-A,,FAA_TYPE_2
129,AIRESEARCH,TPE331-55-B,,FAA_TYPE_2
130,AIRESEARCH,TPE331-57,,FAA_TYPE_2
131,AIRESEARCH,TPE331-57-B,,FAA_TYPE_2
132,AIRESEARCH,TPE331-5A,,FAA_TYPE_2
133,AIRESEARCH,TPE331-5AB,,FAA_TYPE_2
134,AIRESEARCH,TPE331-5B,,FAA_TYPE_2
135,AIRESEARCH,TPE331-5U,,FAA_TYPE_2
136,AIRESEARCH,TPE331-6,,FAA_TYPE_2
137,AIRESEARCH,TPE331-6-251M,,FAA_TYPE_2
138,AIRESEARCH,TPE331-61,,FAA_TYPE_2
139,AIRESEARCH,TPE331-61-A,,FAA_TYPE_2
140,AIRESEARCH,TPE331-6A,,FAA_TYPE_2
141,AIRESEARCH,TPE331-6U,,FAA_TYPE_2
142,AIRESEARCH,TPE331-8,,FAA_TYPE_2
143,AIRESEARCH,TPE331-8 SER,,FAA_TYPE_2
144,AIRESEARCH,TPE331-8A,,FAA_TYPE_2
145,AIRESEARCH,TPE331-9,,FAA_TYPE_2
146,AIRESEARCH,TPE331-9U,,FAA_TYPE_2
147,AIRESEARCH,TSE331 SERIES,,FAA_TYPE_3
148,AIRESEARCH,TSE331-3U,,FAA_TYPE_3
149,AIRESEARCH,TSE36-1,,FAA_TYPE_3
150,ALISPORT,A302EFI,,FAA_TYPE_1
151,ALLIANCE,HESS WARRIOR,,FAA_TYPE_1
152,ALLIANCE,TPE331-1UA,,FAA_TYPE_2
153,ALLIANCE,TPE331-2,,FAA_TYPE_2
154,ALLIED SIG,TPE331-47,,FAA_TYPE_2
155,ALLIEDSIGN,AL5512,,FAA_TYPE_3
156,ALLIEDSIGN,ALF502L,,FAA_TYPE_5
157,ALLIEDSIGN,ALF502L-2,,FAA_TYPE_5
158,ALLIEDSIGN,ALF502L-2A,,FAA_TYPE_5
159,ALLIEDSIGN,ALF502L-2C,,FAA_TYPE_5
160,ALLIEDSIGN,ALF502L-3,,FAA_TYPE_5
161,ALLIEDSIGN,ALF502R-3,,FAA_TYPE_5
162,ALLIEDSIGN,ALF502R-3A,,FAA_TYPE_5
163,ALLIEDSIGN,ALF502R-4,,FAA_TYPE_5
164,ALLIEDSIGN,ALF502R-5,,FAA_TYPE_5
165,ALLIEDSIGN,ALF502R-6,,FAA_TYPE_5
166,ALLIEDSIGN,ALF507-1F,,FAA_TYPE_5
167,ALLIEDSIGN,ALF507-1H,,FAA_TYPE_5
168,ALLIEDSIGN,ATF3-6,,FAA_TYPE_5
169,ALLIEDSIGN,ATF3-6A,,FAA_TYPE_5
170,ALLIEDSIGN,CFE-738 SER,,FAA_TYPE_5
171,ALLIEDSIGN,LF507-1F,,FAA_TYPE_4
172,ALLIEDSIGN,LTC1B-1,,FAA_TYPE_3
173,ALLIEDSIGN,LTP101-600,,FAA_TYPE_2
174,ALLIEDSIGN,LTP101-600A,,FAA_TYPE_2
175,ALLIEDSIGN,LTP101-600A1A,,FAA_TYPE_2
176,ALLIEDSIGN,LTP101-700A1A,,FAA_TYPE_2
177,ALLIEDSIGN,LTS101-750B-1,,FAA_TYPE_3
178,ALLIEDSIGN,T5307A,,FAA_TYPE_2
179,ALLIEDSIGN,T5309A,,FAA_TYPE_3
180,ALLIEDSIGN,T5309B,,FAA_TYPE_3
181,ALLIEDSIGN,T5309C,,FAA_TYPE_3
182,ALLIEDSIGN,T5311A,,FAA_TYPE_3
183,ALLIEDSIGN,T5311B,,FAA_TYPE_3
184,ALLIEDSIGN,T5313B,,FAA_TYPE_3
185,ALLIEDSIGN,T5317A,,FAA_TYPE_3
186,ALLIEDSIGN,T5317A-1,,FAA_TYPE_3
187,ALLIEDSIGN,T5317B,,FAA_TYPE_3
188,ALLIEDSIGN,T5508D,,FAA_TYPE_3
189,ALLIEDSIGN,TFE 731-2B,,FAA_TYPE_4
190,ALLIEDSIGN,TFE731 SERIES,,FAA_TYPE_5
191,ALLIEDSIGN,TFE731-2,,FAA_TYPE_5
192,ALLIEDSIGN,TFE731-20,,FAA_TYPE_5
193,ALLIEDSIGN,TFE731-20AR,,FAA_TYPE_5
194,ALLIEDSIGN,TFE731-20BR,,FAA_TYPE_5
195,ALLIEDSIGN,TFE731-20R,,FAA_TYPE_5
196,ALLIEDSIGN,TFE731-2A,,FAA_TYPE_5
197,ALLIEDSIGN,TFE731-2BR,,FAA_TYPE_5
198,ALLIEDSIGN,TFE731-2C,,FAA_TYPE_5
199,ALLIEDSIGN,TFE731-3,,FAA_TYPE_5
200,ALLIEDSIGN,TFE731-3A,,FAA_TYPE_5
201,ALLIEDSIGN,TFE731-3AR,,FAA_TYPE_5
202,ALLIEDSIGN,TFE731-3B,,FAA_TYPE_5
203,ALLIEDSIGN,TFE731-3BR,,FAA_TYPE_5
204,ALLIEDSIGN,TFE731-3C,,FAA_TYPE_5
205,ALLIEDSIGN,TFE731-3CR,,FAA_TYPE_5
206,ALLIEDSIGN,TFE731-3D,,FAA_TYPE_5
207,ALLIEDSIGN,TFE731-3DR,,FAA_TYPE_5
208,ALLIEDSIGN,TFE731-3R,,FAA_TYPE_5
209,ALLIEDSIGN,TFE731-4,,FAA_TYPE_5
210,ALLIEDSIGN,TFE731-40,,FAA_TYPE_5
211,ALLIEDSIGN,TFE731-40-1C,,FAA_TYPE_5
212,ALLIEDSIGN,TFE731-40AR,,FAA_TYPE_5
213,ALLIEDSIGN,TFE731-40R,,FAA_TYPE_5
214,ALLIEDSIGN,TFE731-4R,,FAA_TYPE_5
215,ALLIEDSIGN,TFE731-5,,FAA_TYPE_5
216,ALLIEDSIGN,TFE731-5A,,FAA_TYPE_5
217,ALLIEDSIGN,TFE731-5AR,,FAA_TYPE_5
218,ALLIEDSIGN,TFE731-5B,,FAA_TYPE_5
219,ALLIEDSIGN,TFE731-5BR,,FAA_TYPE_5
220,ALLIEDSIGN,TFE731-5BR-C1,,FAA_TYPE_5
221,ALLIEDSIGN,TFE731-5R,,FAA_TYPE_5
222,ALLIEDSIGN,TFE731-60,,FAA_TYPE_5
223,ALLIEDSIGN,TPE 331 SER,,FAA_TYPE_5
224,ALLIEDSIGN,TPE-331-10UG,,FAA_TYPE_2
225,ALLIEDSIGN,TPE331-1,,FAA_TYPE_2
226,ALLIEDSIGN,TPE331-10,,FAA_TYPE_2
227,ALLIEDSIGN,TPE331-10A,,FAA_TYPE_2
228,ALLIEDSIGN,TPE331-10AV,,FAA_TYPE_2
229,ALLIEDSIGN,TPE331-10B,,FAA_TYPE_2
230,ALLIEDSIGN,TPE331-10G,,FAA_TYPE_2
231,ALLIEDSIGN,TPE331-10GP,,FAA_TYPE_2
232,ALLIEDSIGN,TPE331-10GR,,FAA_TYPE_2
233,ALLIEDSIGN,TPE331-10GT,,FAA_TYPE_2
234,ALLIEDSIGN,TPE331-10J,,FAA_TYPE_2
235,ALLIEDSIGN,TPE331-10N,,FAA_TYPE_2
236,ALLIEDSIGN,TPE331-10P,,FAA_TYPE_2
237,ALLIEDSIGN,TPE331-10R,,FAA_TYPE_2
238,ALLIEDSIGN,TPE331-10T,,FAA_TYPE_2
239,ALLIEDSIGN,TPE331-10U,,FAA_TYPE_2
240,ALLIEDSIGN,TPE331-10UA,,FAA_TYPE_2
241,ALLIEDSIGN,TPE331-10UF,,FAA_TYPE_2
242,ALLIEDSIGN,TPE331-10UGR,,FAA_TYPE_2
243,ALLIEDSIGN,TPE331-10UJ,,FAA_TYPE_2
244,ALLIEDSIGN,TPE331-10UK,,FAA_TYPE_2
245,ALLIEDSIGN,TPE331-10UR,,FAA_TYPE_2
246,ALLIEDSIGN,TPE331-11U,,FAA_TYPE_2
247,ALLIEDSIGN,TPE331-11UA,,FAA_TYPE_2
248,ALLIEDSIGN,TPE331-12,,FAA_TYPE_2
249,ALLIEDSIGN,TPE331-12B,,FAA_TYPE_2
250,ALLIEDSIGN,TPE331-12JR,,FAA_TYPE_2
251,ALLIEDSIGN,TPE331-12UA,,FAA_TYPE_2
252,ALLIEDSIGN,TPE331-12UAR,,FAA_TYPE_2
253,ALLIEDSIGN,TPE331-12UER,,FAA_TYPE_2
254,ALLIEDSIGN,TPE331-12UHR,,FAA_TYPE_2
255,ALLIEDSIGN,TPE331-14A,,FAA_TYPE_2
256,ALLIEDSIGN,TPE331-14B,,FAA_TYPE_2
257,ALLIEDSIGN,TPE331-14F,,FAA_TYPE_2
258,ALLIEDSIGN,TPE331-14GR,,FAA_TYPE_2
259,ALLIEDSIGN,TPE331-14HR,,FAA_TYPE_2
260,ALLIEDSIGN,TPE331-15AW,,FAA_TYPE_2
261,ALLIEDSIGN,TPE331-1U,,FAA_TYPE_2
262,ALLIEDSIGN,TPE331-1UA,,FAA_TYPE_2
263,ALLIEDSIGN,TPE331-2,,FAA_TYPE_2
264,ALLIEDSIGN,TPE331-25A,,FAA_TYPE_2
265,ALLIEDSIGN,TPE331-25AA,,FAA_TYPE_2
266,ALLIEDSIGN,TPE331-25AB,,FAA_TYPE_2
267,ALLIEDSIGN,TPE331-25B,,FAA_TYPE_2
268,ALLIEDSIGN,TPE331-25C,,FAA_TYPE_2
269,ALLIEDSIGN,TPE331-25D,,FAA_TYPE_2
270,ALLIEDSIGN,TPE331-25DA,,FAA_TYPE_2
271,ALLIEDSIGN,TPE331-25DB,,FAA_TYPE_2
272,ALLIEDSIGN,TPE331-25E,,FAA_TYPE_2
273,ALLIEDSIGN,TPE331-25FA,,FAA_TYPE_2
274,ALLIEDSIGN,TPE331-29A,,FAA_TYPE_2
275,ALLIEDSIGN,TPE331-2U,,FAA_TYPE_2
276,ALLIEDSIGN,TPE331-2UA,,FAA_TYPE_2
277,ALLIEDSIGN,TPE331-3,,FAA_TYPE_2
278,ALLIEDSIGN,TPE331-3U,,FAA_TYPE_2
279,ALLIEDSIGN,TPE331-3UW,,FAA_TYPE_2
280,ALLIEDSIGN,TPE331-3W,,FAA_TYPE_2
281,ALLIEDSIGN,TPE331-43,,FAA_TYPE_2
282,ALLIEDSIGN,TPE331-43-A,,FAA_TYPE_2
283,ALLIEDSIGN,TPE331-43-B,,FAA_TYPE_2
284,ALLIEDSIGN,TPE331-45,,FAA_TYPE_2
285,ALLIEDSIGN,TPE331-47-A,,FAA_TYPE_2
286,ALLIEDSIGN,TPE331-47-B,,FAA_TYPE_2
287,ALLIEDSIGN,TPE331-5,,FAA_TYPE_2
288,ALLIEDSIGN,TPE331-51,,FAA_TYPE_2
289,ALLIEDSIGN,TPE331-55,,FAA_TYPE_2
290,ALLIEDSIGN,TPE331-55-A,,FAA_TYPE_2
291,ALLIEDSIGN,TPE331-55-B,,FAA_TYPE_2
292,ALLIEDSIGN,TPE331-57,,FAA_TYPE_2
293,ALLIEDSIGN,TPE331-57-B,,FAA_TYPE_2
294,ALLIEDSIGN,TPE331-5AB,,FAA_TYPE_2
295,ALLIEDSIGN,TPE331-5B,,FAA_TYPE_2
296,ALLIEDSIGN,TPE331-5U,,FAA_TYPE_2
297,ALLIEDSIGN,TPE331-6,,FAA_TYPE_2
298,ALLIEDSIGN,TPE331-61,,FAA_TYPE_2
299,ALLIEDSIGN,TPE331-61-A,,FAA_TYPE_2
300,ALLIEDSIGN,TPE331-6A,,FAA_TYPE_2
301,ALLIEDSIGN,TPE331-6U,,FAA_TYPE_2
302,ALLIEDSIGN,TPE331-8,,FAA_TYPE_2
303,ALLIEDSIGN,TPE331-8A,,FAA_TYPE_2
304,ALLIEDSIGN,TPE331-9,,FAA_TYPE_2
305,ALLIEDSIGN,TPE331-9U,,FAA_TYPE_2
306,ALLIEDSIGN,TSE331-3U,,FAA_TYPE_3
307,ALLISON,225-C10,,FAA_TYPE_3
308,ALLISON,225-C10A,,FAA_TYPE_3
309,ALLISON,250 SER,,FAA_TYPE_1
310,ALLISON,250 SER 250HP,,FAA_TYPE_2_3
311,ALLISON,250 SER 317HP,,FAA_TYPE_3
312,ALLISON,250 SER 400HP,,FAA_TYPE_2_3
313,ALLISON,250 SERIES,,FAA_TYPE_2
314,ALLISON,250-B15A,,FAA_TYPE_2
315,ALLISON,250-B15E,,FAA_TYPE_2
316,ALLISON,250-B15G,,FAA_TYPE_2
317,ALLISON,250-B17,,FAA_TYPE_2
318,ALLISON,250-B17 SER,,FAA_TYPE_2_3
319,ALLISON,250-B17B,,FAA_TYPE_2
320,ALLISON,250-B17C,,FAA_TYPE_2
321,ALLISON,250-B17D,,FAA_TYPE_2
322,ALLISON,250-B17E,,FAA_TYPE_2
323,ALLISON,250-B17F,,FAA_TYPE_2
324,ALLISON,250-B17F/1,,FAA_TYPE_2
325,ALLISON,250-B17F/2,,FAA_TYPE_2
326,ALLISON,250-C10,,FAA_TYPE_3
327,ALLISON,250-C10B,,FAA_TYPE_3
328,ALLISON,250-C10D,,FAA_TYPE_3
329,ALLISON,250-C18,,FAA_TYPE_3
330,ALLISON,250-C18A,,FAA_TYPE_3
331,ALLISON,250-C18B,,FAA_TYPE_3
332,ALLISON,250-C18C,,FAA_TYPE_3
333,ALLISON,250-C19,,FAA_TYPE_3
334,ALLISON,250-C20,,FAA_TYPE_3
335,ALLISON,250-C20 SER,,FAA_TYPE_2
336,ALLISON,250-C20B,,FAA_TYPE_3
337,ALLISON,250-C20C,,FAA_TYPE_3
338,ALLISON,250-C20F,,FAA_TYPE_3
339,ALLISON,250-C20J,,FAA_TYPE_3
340,ALLISON,250-C20R,,FAA_TYPE_3
341,ALLISON,250-C20R/1,,FAA_TYPE_3
342,ALLISON,250-C20R/2,,FAA_TYPE_3
343,ALLISON,250-C20R/4,,FAA_TYPE_3
344,ALLISON,250-C20S,,FAA_TYPE_3
345,ALLISON,250-C20W,,FAA_TYPE_3
346,ALLISON,250-C28,,FAA_TYPE_3
347,ALLISON,250-C28 SER,,FAA_TYPE_2_3
348,ALLISON,250-C28B,,FAA_TYPE_3
349,ALLISON,250-C28C,,FAA_TYPE_3
350,ALLISON,250-C30,,FAA_TYPE_3
351,ALLISON,250-C30 SER,,FAA_TYPE_3
352,ALLISON,250-C30G,,FAA_TYPE_3
353,ALLISON,250-C30G/2,,FAA_TYPE_3
354,ALLISON,250-C30M,,FAA_TYPE_3
355,ALLISON,250-C30P,,FAA_TYPE_3
356,ALLISON,250-C30R,,FAA_TYPE_3
357,ALLISON,250-C30R/1,,FAA_TYPE_3
358,ALLISON,250-C30R/3,,FAA_TYPE_3
359,ALLISON,250-C30R/3M,,FAA_TYPE_3
360,ALLISON,250-C30S,,FAA_TYPE_3
361,ALLISON,250-C30U,,FAA_TYPE_3
362,ALLISON,250-C40B,,FAA_TYPE_3
363,ALLISON,250-C47,,FAA_TYPE_3
364,ALLISON,250-C47B,,FAA_TYPE_3
365,ALLISON,250-C47M,,FAA_TYPE_3
366,ALLISON,501 SER,,FAA_TYPE_2
367,ALLISON,501-D13,,FAA_TYPE_2
368,ALLISON,501-D13 SER,,FAA_TYPE_2
369,ALLISON,501-D13A,,FAA_TYPE_2
370,ALLISON,501-D13D,,FAA_TYPE_2
371,ALLISON,501-D13E,,FAA_TYPE_2
372,ALLISON,501-D13H,,FAA_TYPE_2
373,ALLISON,501-D22,,FAA_TYPE_2
374,ALLISON,501-D22A,,FAA_TYPE_2
375,ALLISON,501-D22C,,FAA_TYPE_2
376,ALLISON,501-D22G,,FAA_TYPE_2
377,ALLISON,502-D22G,,FAA_TYPE_2
378,ALLISON,A225-C10A,,FAA_TYPE_3
379,ALLISON,AE 1107C,,FAA_TYPE_3
380,ALLISON,AE 2100A,,FAA_TYPE_2
381,ALLISON,AE 2100C,,FAA_TYPE_2
382,ALLISON,AE 2100D2,,FAA_TYPE_2
383,ALLISON,AE 2100D3,,FAA_TYPE_2
384,ALLISON,AE 2100J,,FAA_TYPE_2
385,ALLISON,AE 3007A,,FAA_TYPE_5
386,ALLISON,AE 3007A1,,FAA_TYPE_5
387,ALLISON,AE 3007A1/1,,FAA_TYPE_5
388,ALLISON,AE 3007A1/2,,FAA_TYPE_5
389,ALLISON,AE 3007A1/3,,FAA_TYPE_5
390,ALLISON,AE 3007A1E,,FAA_TYPE_5
391,ALLISON,AE 3007A1P,,FAA_TYPE_5
392,ALLISON,AE 3007A3,,FAA_TYPE_5
393,ALLISON,AE 3007C,,FAA_TYPE_5
394,ALLISON,AE 3007C1,,FAA_TYPE_5
395,ALLISON,AE2100SER,,FAA_TYPE_2
396,ALLISON,AE3007C SER,,FAA_TYPE_5
397,ALLISON,J33-A SERIES,,FAA_TYPE_4
398,ALLISON,J35-A SERIES,,FAA_TYPE_4
399,ALLISON,T-56-A-10W,,FAA_TYPE_2
400,ALLISON,T-56-A-7 SER,,FAA_TYPE_2
401,ALLISON,T-56A-9,,FAA_TYPE_2
402,ALLISON,T56-10 SER,,FAA_TYPE_2
403,ALLISON,T56-A-14,,FAA_TYPE_2
404,ALLISON,T56-A-15 SER,,FAA_TYPE_2
405,ALLISON,T56-A-16,,FAA_TYPE_2
406,ALLISON,T56A11 SER,,FAA_TYPE_2
407,ALLISON,T63 SERIES,,FAA_TYPE_3
408,ALLISON,T63-A-5,,FAA_TYPE_3
409,ALLISON,T63-A-5A,,FAA_TYPE_3
410,ALLISON,T63-A-700,,FAA_TYPE_3
411,ALLISON,T63-A-720,,FAA_TYPE_3
412,ALLISON,T703-AD-700,,FAA_TYPE_3
413,ALLISON,T703-AD-700B,,FAA_TYPE_3
414,ALLISON,V1710 SER,,FAA_TYPE_1
415,ALLISON,V1710 SERIES,,FAA_TYPE_3
416,ALVIS,502/5A,,FAA_TYPE_1
417,ALVIS,502/6A,,FAA_TYPE_1
418,ALVIS,502/7A,,FAA_TYPE_1
419,ALVIS,502/8,,FAA_TYPE_1
420,ALVIS,503/5A,,FAA_TYPE_1
421,ALVIS,503/6A,,FAA_TYPE_1
422,ALVIS,503/7A,,FAA_TYPE_1
423,ALVIS,503/8,,FAA_TYPE_1
424,ALVIS,504/5A,,FAA_TYPE_1
425,ALVIS,504/6A,,FAA_TYPE_1
426,ALVIS,504/7A,,FAA_TYPE_1
427,ALVIS,504/8,,FAA_TYPE_1
428,ALVIS,514/5,,FAA_TYPE_1
429,ALVIS,514/5A,,FAA_TYPE_1
430,ALVIS,514/6,,FAA_TYPE_1
431,ALVIS,514/6A,,FAA_TYPE_1
432,ALVIS,514/7,,FAA_TYPE_1
433,ALVIS,514/7A,,FAA_TYPE_1
434,ALVIS,514/8,,FAA_TYPE_1
435,ALVIS,514/8A,,FAA_TYPE_1
436,ALVIS,514/SER,,FAA_TYPE_1
437,ALVIS,531/8,,FAA_TYPE_1
438,ALVIS,531/8B,,FAA_TYPE_1
439,AMA/EXPR,UNKNOWN ENG,,
440,AMERICAN,S5-125,,FAA_TYPE_1
441,AMES,TRS 18-046,,FAA_TYPE_4
442,ANZANI,W-3,,FAA_TYPE_1
443,ANZANI,Y,,FAA_TYPE_1
444,ARDEM,4 C02,,FAA_TYPE_1
445,ARGUS,AS10-P,,FAA_TYPE_1
446,ARGUS,AS10C-3,,FAA_TYPE_1
447,ARGUS,AS10R,,FAA_TYPE_1
448,ARGUS,AS410-A2,,FAA_TYPE_1
449,ARMST SIDD,GENET MARK 11,,FAA_TYPE_1
450,ARROW,V8F,,FAA_TYPE_1
451,ASZ,621R,,FAA_TYPE_1
452,AUDI,TDI,,FAA_TYPE_8
453,AUSTRO,AE330,,FAA_TYPE_8
454,AUSTRO,E4 SERIES,,FAA_TYPE_1
455,AUSTRO,E4(11OR),,FAA_TYPE_11
456,AUSTRO,E4-A,,FAA_TYPE_1
457,AUSTRO,E4-C,,FAA_TYPE_1
458,AUSTRO,E4P(SERIES),,FAA_TYPE_8
459,AUSTRO,IAE 50R-AA,,FAA_TYPE_11
460,AVIA,M-137A,,FAA_TYPE_1
461,AVIA,M337AK,,FAA_TYPE_1
462,AVIA,M462-RF,,FAA_TYPE_1
463,AVRO,ALF 507-1F,,FAA_TYPE_4
464,BARRETT,320 SERIES,,FAA_TYPE_1
